Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Semiha Mutlu,Turkey,25,168,55,F,Athletics,Women's 20km Race Walk,,,,
Nadiya Borovska,Ukraine,31,163,50,F,Athletics,Women's 20km Race Walk,,,,
Olena Shumkina,Ukraine,24,160,48,F,Athletics,Women's 20km Race Walk,,,,
Olha Iakovenko,Ukraine,25,159,46,F,Athletics,Women's 20km Race Walk,,,,
Maria Michta,United States of America,26,165,51,F,Athletics,Women's 20km Race Walk,,,,
Milangela Rosales,Venezuela,25,160,55,F,Athletics,Women's 20km Race Walk,,,,
Nguyen Thi Thanh Phuc,Vietnam,21,154,45,F,Athletics,Women's 20km Race Walk,,,,
Genevieve Lacaze,Australia,22,164,53,F,Athletics,Women's 3000m Steeplechase,,,,
Sviatlana Kudzelich,Belarus,25,170,52,F,Athletics,Women's 3000m Steeplechase,,,,
Silviya Danekova,Bulgaria,29,165,50,F,Athletics,Women's 3000m Steeplechase,,,,
Angela Figueroa,Colombia,28,163,51,F,Athletics,Women's 3000m Steeplechase,,,,
Etenesh Diro,Ethiopia,21,169,47,F,Athletics,Women's 3000m Steeplechase,,,,
Hiwot Ayalew,Ethiopia,22,173,51,F,Athletics,Women's 3000m Steeplechase,,,,
Sofia Assefa,Ethiopia,24,168,53,F,Athletics,Women's 3000m Steeplechase,YES,,,1
Antje Moldner-Schmidt,Germany,28,173,57,F,Athletics,Women's 3000m Steeplechase,,,,
Gesa Felicitas Krause,Germany,20,167,50,F,Athletics,Women's 3000m Steeplechase,,,,
Eilish McColgan,Great Britain,21,154,53,F,Athletics,Women's 3000m Steeplechase,,,,
Sudha Singh,India,26,,,F,Athletics,Women's 3000m Steeplechase,,,,
Stephanie Reilly,Ireland,34,155,46,F,Athletics,Women's 3000m Steeplechase,,,,
Korene Hinds,Jamaica,35,163,54,F,Athletics,Women's 3000m Steeplechase,,,,
Lydia Chebet Rotich,Kenya,23,157,45,F,Athletics,Women's 3000m Steeplechase,,,,
Mercy Wanjiku Njoroge,Kenya,26,154,46,F,Athletics,Women's 3000m Steeplechase,,,,
Milcah Chemos Cheywa,Kenya,26,162,48,F,Athletics,Women's 3000m Steeplechase,,,,
Polina Jelizarova,Latvia,23,155,46,F,Athletics,Women's 3000m Steeplechase,,,,
Kaltoum Bouaasayriya,Morocco,29,157,46,F,Athletics,Women's 3000m Steeplechase,,,,
Salima El Ouali Alami,Morocco,28,,53,F,Athletics,Women's 3000m Steeplechase,,,,
Anna Yin,People's Republic of China,20,165,47,F,Athletics,Women's 3000m Steeplechase,,,,
Zhenzhu Li,People's Republic of China,26,168,52,F,Athletics,Women's 3000m Steeplechase,,,,
Katarzyna Kowalska,Poland,27,178,55,F,Athletics,Women's 3000m Steeplechase,,,,
Clarisse Cruz,Portugal,34,170,53,F,Athletics,Women's 3000m Steeplechase,,,,
Ancuta Bobocel,Romania,24,167,49,F,Athletics,Women's 3000m Steeplechase,,,,
Cristina Casandra,Romania,35,169,54,F,Athletics,Women's 3000m Steeplechase,,,,
Gulnara Galkina,Russian Federation,34,174,53,F,Athletics,Women's 3000m Steeplechase,,,,
Yelena Sidorchenkova Orlova,Russian Federation,32,168,55,F,Athletics,Women's 3000m Steeplechase,,,,
Yuliya Zaripova,Russian Federation,26,175,70,F,Athletics,Women's 3000m Steeplechase,YES,1,,
Diana Martin,Spain,31,163,50,F,Athletics,Women's 3000m Steeplechase,,,,
Marta Dominguez,Spain,36,163,52,F,Athletics,Women's 3000m Steeplechase,,,,
Habiba Ghribi,Tunisia,28,174,49,F,Athletics,Women's 3000m Steeplechase,YES,,1,
Binnaz Uslu,Turkey,27,165,55,F,Athletics,Women's 3000m Steeplechase,,,,
Gulcan Mingir,Turkey,23,165,53,F,Athletics,Women's 3000m Steeplechase,,,,
Ozlem Kaya,Turkey,22,,,F,Athletics,Women's 3000m Steeplechase,,,,
Docus Inzikuru,Uganda,30,162,50,F,Athletics,Women's 3000m Steeplechase,,,,
Svitlana Shmidt,Ukraine,22,167,52,F,Athletics,Women's 3000m Steeplechase,,,,
Valentyna Horpynych Zhudina,Ukraine,29,161,47,F,Athletics,Women's 3000m Steeplechase,,,,
Bridget Franek,United States of America,24,168,57,F,Athletics,Women's 3000m Steeplechase,,,,
Emma Coburn,United States of America,21,173,54,F,Athletics,Women's 3000m Steeplechase,,,,
Shalaya Kipp,United States of America,21,170,58,F,Athletics,Women's 3000m Steeplechase,,,,
Barbara Parker,Great Britain,29,171,52,F,Athletics,"Women's 3000m Steeplechase, Women's 5000m",,,,
Fionnuala Britton,Ireland,27,158,43,F,Athletics,"Women's 3000m Steeplechase, Women's 5000m, Women's 10,000m",,,,
Amara Jones,Bahamas,20,,,F,Athletics,Women's 4 x 100m Relay,,,,
Christine Amertil,Bahamas,32,168,54,F,Athletics,Women's 4 x 100m Relay,,,,
Elena Danilyuk-Nevmerzhytskaya,Belarus,32,164,56,F,Athletics,Women's 4 x 100m Relay,,,,
Hanna Liapeshka,Belarus,27,168,65,F,Athletics,Women's 4 x 100m Relay,,,,
Katsiaryna Hanchar,Belarus,23,167,64,F,Athletics,Women's 4 x 100m Relay,,,,
Katsiaryna Shumak,Belarus,23,164,60,F,Athletics,Women's 4 x 100m Relay,,,,
Volha Astashka,Belarus,25,167,56,F,Athletics,Women's 4 x 100m Relay,,,,
Franciela Krasucki,Brazil,24,,59,F,Athletics,Women's 4 x 100m Relay,,,,
Tamiris de Liz,Brazil,16,,,F,Athletics,Women's 4 x 100m Relay,,,,
Vanda Gomes,Brazil,23,,72,F,Athletics,Women's 4 x 100m Relay,,,,
Darlenis Obregon,Colombia,26,168,60,F,Athletics,Women's 4 x 100m Relay,,,,
Eliecith Palacios,Colombia,24,175,67,F,Athletics,Women's 4 x 100m Relay,,,,
Maria Alejandra Idrobo,Colombia,24,170,67,F,Athletics,Women's 4 x 100m Relay,,,,
Nelcy Caicedo,Colombia,22,162,60,F,Athletics,Women's 4 x 100m Relay,,,,
Ayodele Ikuesan,France,27,174,63,F,Athletics,Women's 4 x 100m Relay,,,,
Johanna Danois,France,25,167,61,F,Athletics,Women's 4 x 100m Relay,,,,
Lina Jacques-Sebastien,France,27,176,58,F,Athletics,Women's 4 x 100m Relay,,,,
Nelly Banco,France,26,160,50,F,Athletics,Women's 4 x 100m Relay,,,,
Anne Cibis,Germany,26,173,66,F,Athletics,Women's 4 x 100m Relay,,,,
Leena Gunther,Germany,21,163,53,F,Athletics,Women's 4 x 100m Relay,,,,
Marion Wagner,Germany,34,178,60,F,Athletics,Women's 4 x 100m Relay,,,,
Yasmin Kwadwo,Germany,21,170,62,F,Athletics,Women's 4 x 100m Relay,,,,
Samantha Henry-Robinson,Jamaica,23,163,58,F,Athletics,Women's 4 x 100m Relay,,,,
Schillonie Calvert,Jamaica,24,135,54,F,Athletics,Women's 4 x 100m Relay,,,,
Anna Doi,Japan,16,157,47,F,Athletics,Women's 4 x 100m Relay,,,,
Kana Ichikawa,Japan,21,164,48,F,Athletics,Women's 4 x 100m Relay,,,,
Momoko Takahashi,Japan,23,170,59,F,Athletics,Women's 4 x 100m Relay,,,,
Yumeka Sano,Japan,27,160,52,F,Athletics,Women's 4 x 100m Relay,,,,
Esther Akihary,Netherlands,25,166,56,F,Athletics,Women's 4 x 100m Relay,,,,
Eva Lubbers,Netherlands,20,178,65,F,Athletics,Women's 4 x 100m Relay,,,,
Jamile Samuel,Netherlands,20,168,57,F,Athletics,Women's 4 x 100m Relay,,,,
Marit Dopheide,Netherlands,21,179,61,F,Athletics,Women's 4 x 100m Relay,,,,
Isokan Igbinosun,Nigeria,19,,,F,Athletics,Women's 4 x 100m Relay,,,,
Daria Korczynska,Poland,31,168,60,F,Athletics,Women's 4 x 100m Relay,,,,
Ewelina Ptak,Poland,25,165,57,F,Athletics,Women's 4 x 100m Relay,,,,
Marika Popowicz,Poland,24,164,53,F,Athletics,Women's 4 x 100m Relay,,,,
Martyna Opon,Poland,20,169,55,F,Athletics,Women's 4 x 100m Relay,,,,
Evgeniya Polyakova,Russian Federation,29,164,56,F,Athletics,Women's 4 x 100m Relay,,,,
Yuliya Chermoshanskaya,Russian Federation,26,174,65,F,Athletics,Women's 4 x 100m Relay,,,,
Marisa Lavanchy,Switzerland,22,170,58,F,Athletics,Women's 4 x 100m Relay,,,,
Michelle Cueni,Switzerland,28,166,52,F,Athletics,Women's 4 x 100m Relay,,,,
Reyare Thomas,Trinidad and Tobago,24,169,59,F,Athletics,Women's 4 x 100m Relay,,,,
Sparkle McKnight,Trinidad and Tobago,20,158,155,F,Athletics,Women's 4 x 100m Relay,,,,
Bianca Knight,United States of America,23,160,63,F,Athletics,Women's 4 x 100m Relay,,,,
Jeneba Tarmoh,United States of America,22,165,59,F,Athletics,Women's 4 x 100m Relay,,,,
Lauryn Williams,United States of America,28,160,60,F,Athletics,Women's 4 x 100m Relay,,,,
Ellen Sprunger,Switzerland,25,173,61,F,Athletics,"Women's 4 x 100m Relay, Women's Heptathlon",,,,
Alena Kiyevich,Belarus,24,165,60,F,Athletics,Women's 4 x 400m Relay,,,,
Hanna Tashpulatava,Belarus,24,169,61,F,Athletics,Women's 4 x 400m Relay,,,,
Ilona Usovich,Belarus,29,169,59,F,Athletics,Women's 4 x 400m Relay,,,,
Iryna Khliustava,Belarus,33,175,60,F,Athletics,Women's 4 x 400m Relay,,,,
Yulyana Yushchanka,Belarus,27,174,63,F,Athletics,Women's 4 x 400m Relay,,,,
Aline dos Santos,Brazil,27,,,F,Athletics,Women's 4 x 400m Relay,,,,
Lucimar Teodoro,Brazil,31,,,F,Athletics,Women's 4 x 400m Relay,,,,
Aymee Martinez,Cuba,23,,,F,Athletics,Women's 4 x 400m Relay,,,,
Daisurami Bonne,Cuba,24,,,F,Athletics,Women's 4 x 400m Relay,,,,
Diosmely Pena,Cuba,27,,,F,Athletics,Women's 4 x 400m Relay,,,,
Sahily Diago,Cuba,16,,,F,Athletics,Women's 4 x 400m Relay,,,,
Yaneisi Borlot,Cuba,21,,,F,Athletics,Women's 4 x 400m Relay,,,,
Jitka Bartonickova,Czech Republic,26,175,56,F,Athletics,Women's 4 x 400m Relay,,,,
Zuzana Bergrova,Czech Republic,27,175,64,F,Athletics,Women's 4 x 400m Relay,,,,
Elea Mariama Diarra,France,22,175,60,F,Athletics,Women's 4 x 400m Relay,,,,
Floria Guei,France,22,166,52,F,Athletics,Women's 4 x 400m Relay,,,,
Lenora Guion-Firmin,France,20,172,60,F,Athletics,Women's 4 x 400m Relay,,,,
Marie Gayot,France,23,171,57,F,Athletics,Women's 4 x 400m Relay,,,,
Muriel Hurtis,France,33,180,65,F,Athletics,Women's 4 x 400m Relay,,,,
Phara Anacharsis,France,28,177,66,F,Athletics,Women's 4 x 400m Relay,,,,
Christiane Klopsch,Germany,21,177,61,F,Athletics,Women's 4 x 400m Relay,,,,
Esther Cremer,Germany,24,170,55,F,Athletics,Women's 4 x 400m Relay,,,,
Fabienne Kohlmann,Germany,22,170,58,F,Athletics,Women's 4 x 400m Relay,,,,
Janin Lindenberg,Germany,25,173,60,F,Athletics,Women's 4 x 400m Relay,,,,
Maral Feizbakhsh,Germany,21,175,61,F,Athletics,Women's 4 x 400m Relay,,,,
Emily Diamond,Great Britain,21,173,58,F,Athletics,Women's 4 x 400m Relay,,,,
Marilyn Okoro,Great Britain,27,167,60,F,Athletics,Women's 4 x 400m Relay,,,,
Nicola Sanders,Great Britain,30,171,58,F,Athletics,Women's 4 x 400m Relay,,,,
Catriona Cuddihy,Ireland,25,176,65,F,Athletics,Women's 4 x 400m Relay,,,,
Claire Bergin,Ireland,27,186,61,F,Athletics,Women's 4 x 400m Relay,,,,
Jessie Barr,Ireland,23,175,58,F,Athletics,Women's 4 x 400m Relay,,,,
Marian Heffernan,Ireland,30,171,63,F,Athletics,Women's 4 x 400m Relay,,,,
Michelle Carey,Ireland,31,169,57,F,Athletics,Women's 4 x 400m Relay,,,,
Chiara Bazzoni,Italy,28,172,60,F,Athletics,Women's 4 x 400m Relay,,,,
Elena Maria Bonfanti,Italy,24,172,60,F,Athletics,Women's 4 x 400m Relay,,,,
Giulia Arcioni,Italy,26,171,55,F,Athletics,Women's 4 x 400m Relay,,,,
Manuela Gentili,Italy,34,162,52,F,Athletics,Women's 4 x 400m Relay,,,,
Maria Enrica Spacca,Italy,26,164,55,F,Athletics,Women's 4 x 400m Relay,,,,
Dominique Blake,Jamaica,25,178,64,F,Athletics,Women's 4 x 400m Relay,,,,
Shereefa Lloyd,Jamaica,29,168,61,F,Athletics,Women's 4 x 400m Relay,,,,
Shericka Williams,Jamaica,26,167,54,F,Athletics,Women's 4 x 400m Relay,,,,
Bukola Abogunloko,Nigeria,17,170,53,F,Athletics,Women's 4 x 400m Relay,,,,
Endurance Abinuwa,Nigeria,25,159,54,F,Athletics,Women's 4 x 400m Relay,,,,
Idara Otu,Nigeria,25,,,F,Athletics,Women's 4 x 400m Relay,,,,
Margaret Etim,Nigeria,19,150,52,F,Athletics,Women's 4 x 400m Relay,,,,
Agata Bednarek,Poland,24,175,57,F,Athletics,Women's 4 x 400m Relay,,,,
Iga Baumgart,Poland,23,178,55,F,Athletics,Women's 4 x 400m Relay,,,,
Justyna Swiety,Poland,19,,,F,Athletics,Women's 4 x 400m Relay,,,,
Magdalena Gorzkowska,Poland,20,174,59,F,Athletics,Women's 4 x 400m Relay,,,,
Patrycja Wyciszkiewicz,Poland,18,170,53,F,Athletics,Women's 4 x 400m Relay,,,,
Anastasiya Kapachinskaya,Russian Federation,32,178,63,F,Athletics,Women's 4 x 400m Relay,,,,
Kseniya Vdovina,Russian Federation,25,172,62,F,Athletics,Women's 4 x 400m Relay,,,,
Natalya Nazarova,Russian Federation,33,171,61,F,Athletics,Women's 4 x 400m Relay,,,,
Birsen Engin,Turkey,31,173,63,F,Athletics,Women's 4 x 400m Relay,,,,
Elif Yildirim,Turkey,22,,,F,Athletics,Women's 4 x 400m Relay,,,,
Meliz Redif,Turkey,23,168,60,F,Athletics,Women's 4 x 400m Relay,,,,
Ozge Akin-Gurler,Turkey,27,,,F,Athletics,Women's 4 x 400m Relay,,,,
Sema Aydemir-Apak,Turkey,26,169,54,F,Athletics,Women's 4 x 400m Relay,,,,
Daryna Prystupa,Ukraine,24,163,56,F,Athletics,Women's 4 x 400m Relay,,,,
Iuliia Olishevska,Ukraine,23,167,58,F,Athletics,Women's 4 x 400m Relay,,,,
Olha Zemlyak,Ukraine,22,165,55,F,Athletics,Women's 4 x 400m Relay,,,,
Yuliya Baraley,Ukraine,22,175,63,F,Athletics,Women's 4 x 400m Relay,,,,
Diamond Dixon,United States of America,20,168,51,F,Athletics,Women's 4 x 400m Relay,,,,
Keshia Baker,United States of America,24,170,62,F,Athletics,Women's 4 x 400m Relay,,,,
Afia Charles,Antigua and Barbuda,20,,,F,Athletics,Women's 400m,,,,
Amantle Montsho,Botswana,29,,,F,Athletics,Women's 400m,,,,
Maziah Mahusin,Brunei Darussalam,19,163,51,F,Athletics,Women's 400m,,,,
Jenna Martin,Canada,24,173,65,F,Athletics,Women's 400m,,,,
Jennifer Padilla,Colombia,22,187,62,F,Athletics,Women's 400m,,,,
Zourah Ali,Djibouti,17,,,F,Athletics,Women's 400m,,,,
Raysa Sanchez,Dominican Republic,24,178,61,F,Athletics,Women's 400m,,,,
Danielle Alakija,Fiji,16,182,71,F,Athletics,Women's 400m,,,,
Hristina Risteska,Former Yugoslav Republic of Macedonia,20,168,60,F,Athletics,Women's 400m,,,,
Kanika Beckles,Grenada,20,,,F,Athletics,Women's 400m,,,,
Graciela Martins,Guinea-Bissau,25,166,60,F,Athletics,Women's 400m,,,,
Aliann Pompey,Guyana,34,168,55,F,Athletics,Women's 400m,,,,
Marina Maslenko,Kazakhstan,30,164,57,F,Athletics,Women's 400m,,,,
Joy Nakhumicha Sakari,Kenya,26,170,60,F,Athletics,Women's 400m,,,,
Ambwene Simukonda,Malawi,28,170,70,F,Athletics,Women's 400m,,,,
Tjipekapora Herunga,Namibia,24,167,51,F,Athletics,Women's 400m,,,,
Ingrid Yahoska Narvaez,Nicaragua,18,,48,F,Athletics,Women's 400m,,,,
Carol Rodriguez,Puerto Rico,26,,,F,Athletics,Women's 400m,,,,
Olesea Cojuhari,Republic of Moldova,22,170,58,F,Athletics,Women's 400m,,,,
Bianca Razor,Romania,17,169,54,F,Athletics,Women's 400m,,,,
Amy Mbacke Thiam,Senegal,35,185,80,F,Athletics,Women's 400m,,,,
Zamzam Mohamed Farah,Somalia,21,,,F,Athletics,Women's 400m,,,,
Aauri Lorena Bokesa,Spain,23,183,71,F,Athletics,Women's 400m,,,,
Kineke Alexander,St Vincent and the Grenadines,26,178,65,F,Athletics,Women's 400m,,,,
Phumlile Ndzinisa,Swaziland,19,165,52,F,Athletics,Women's 400m,,,,
Moa Hjelmer,Sweden,22,172,60,F,Athletics,Women's 400m,,,,
Lauren Boden,Australia,24,178,66,F,Athletics,Women's 400m Hurdles,,,,
Elodie Ouedraogo,Belgium,31,175,61,F,Athletics,Women's 400m Hurdles,,,,
Sarah-Lynn Wells,Canada,22,167,56,F,Athletics,Women's 400m Hurdles,,,,
Princesa Oliveros,Colombia,36,168,56,F,Athletics,Women's 400m Hurdles,,,,
Sharolyn Scott,Costa Rica,28,167,64,F,Athletics,Women's 400m Hurdles,,,,
Nikolina Horvat,Croatia,25,160,53,F,Athletics,Women's 400m Hurdles,,,,
Sara Petersen,Denmark,25,171,58,F,Athletics,Women's 400m Hurdles,,,,
Lucy Jaramillo,Ecuador,29,164,52,F,Athletics,Women's 400m Hurdles,,,,
Eilidh Child,Great Britain,25,171,59,F,Athletics,Women's 400m Hurdles,,,,
Perri Shakes-Drayton,Great Britain,23,172,66,F,Athletics,Women's 400m Hurdles,,,,
Kaliese Spencer,Jamaica,25,180,75,F,Athletics,Women's 400m Hurdles,,,,
Melaine Walker,Jamaica,29,163,53,F,Athletics,Women's 400m Hurdles,,,,
Nickiesha Wilson,Jamaica,26,176,62,F,Athletics,Women's 400m Hurdles,,,,
Satomi Kubokura,Japan,30,161,52,F,Athletics,Women's 400m Hurdles,,,,
Tatyana Azarova,Kazakhstan,26,167,54,F,Athletics,Women's 400m Hurdles,,,,
Maureen Jelagat Maiyo,Kenya,27,167,58,F,Athletics,Women's 400m Hurdles,,,,
Raasin McIntosh,Liberia,30,170,59,F,Athletics,Women's 400m Hurdles,,,,
Egle Staisiunaite,Lithuania,23,174,59,F,Athletics,Women's 400m Hurdles,,,,
Noraseela Mohd Khalid,Malaysia,32,166,55,F,Athletics,Women's 400m Hurdles,,,,
Hayat Lambarki,Morocco,24,172,57,F,Athletics,Women's 400m Hurdles,,,,
Muizat Ajoke Odumosu,Nigeria,24,165,54,F,Athletics,Women's 400m Hurdles,,,,
Xiaoxiao Huang,People's Republic of China,29,176,66,F,Athletics,Women's 400m Hurdles,,,,
Vera Barbosa,Portugal,23,168,58,F,Athletics,Women's 400m Hurdles,,,,
Angela Morosanu,Romania,26,181,62,F,Athletics,Women's 400m Hurdles,,,,
Elena Churakova,Russian Federation,25,174,56,F,Athletics,Women's 400m Hurdles,,,,
Irina Davydova,Russian Federation,24,170,65,F,Athletics,Women's 400m Hurdles,,,,
Natalya Antyukh,Russian Federation,31,178,69,F,Athletics,Women's 400m Hurdles,YES,1,,
Christine Sonali Merrill,Sri Lanka,24,167,57,F,Athletics,Women's 400m Hurdles,,,,
Ghfran Almouhamad,Syrian Arab Republic,23,176,72,F,Athletics,Women's 400m Hurdles,,,,
Janeil Bellille,Trinidad and Tobago,23,163,59,F,Athletics,Women's 400m Hurdles,,,,
Nagihan Karadere,Turkey,28,173,65,F,Athletics,Women's 400m Hurdles,,,,
Hanna Yaroshchuk,Ukraine,22,176,57,F,Athletics,Women's 400m Hurdles,,,,
Georganne Moline,United States of America,22,178,59,F,Athletics,Women's 400m Hurdles,,,,
Lashinda Demus,United States of America,29,170,60,F,Athletics,Women's 400m Hurdles,YES,,1,
T'erea Brown,United States of America,22,175,64,F,Athletics,Women's 400m Hurdles,,,,
Deborah Rodriguez,Uruguay,19,174,63,F,Athletics,Women's 400m Hurdles,,,,
Natalya Asanova,Uzbekistan,22,177,58,F,Athletics,Women's 400m Hurdles,,,,
Jailma de Lima,Brazil,25,173,60,F,Athletics,"Women's 400m Hurdles, Women's 4 x 400m Relay",,,,
Denisa Rosolova,Czech Republic,25,175,68,F,Athletics,"Women's 400m Hurdles, Women's 4 x 400m Relay",,,,
Zuzana Hejnova,Czech Republic,25,173,62,F,Athletics,"Women's 400m Hurdles, Women's 4 x 400m Relay",YES,,,1
Anna Jesien,Poland,33,168,58,F,Athletics,"Women's 400m Hurdles, Women's 4 x 400m Relay",,,,
Sviatlana Usovich,Belarus,31,165,54,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Geisa Aparecida Coutinho,Brazil,32,,53,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Joelma Sousa,Brazil,28,,,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Christine Ohuruogu,Great Britain,28,158,68,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",YES,,1,
Lee McConnell,Great Britain,33,177,64,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Shana Cox,Great Britain,27,172,65,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Joanne Cuddihy,Ireland,28,184,65,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Christine Day,Jamaica,25,168,51,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Novlene Williams-Mills,Jamaica,30,168,57,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Rosemarie Whyte,Jamaica,25,180,64,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Omolara Omotosho,Nigeria,19,152,50,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Regina George,Nigeria,21,,,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Antonina Krivoshapka,Russian Federation,25,168,59,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Tatyana Firova,Russian Federation,29,178,68,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Pinar Saka,Turkey,26,163,54,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Alina Lohvynenko,Ukraine,22,180,68,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Nataliya Pyhyda,Ukraine,31,170,60,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Francena McCorory,United States of America,23,173,68,F,Athletics,"Women's 400m, Women's 4 x 400m Relay",,,,
Vania Stambolova,Bulgaria,28,174,55,F,Athletics,"Women's 400m, Women's 400m Hurdles",,,,
DeeDee Trotter,United States of America,29,178,64,F,Athletics,"Women's 400m, Women's 4x400m relay",YES,,,1
Layes Abdullayeva,Azerbaijan,21,170,47,F,Athletics,Women's 5000m,,,,
Tejitu Daba,Bahrain,20,162,44,F,Athletics,Women's 5000m,,,,
Almensh Belete,Belgium,23,156,44,F,Athletics,Women's 5000m,,,,
Sheila Reid,Canada,23,166,52,F,Athletics,Women's 5000m,,,,
Gelete Burka,Ethiopia,26,160,43,F,Athletics,Women's 5000m,,,,
Genet Yalew,Ethiopia,19,158,46,F,Athletics,Women's 5000m,,,,
Meseret Defar,Ethiopia,28,160,43,F,Athletics,Women's 5000m,,,,
Elena Romagnolo,Italy,29,161,49,F,Athletics,Women's 5000m,,,,
Silvia Weissteiner,Italy,33,163,47,F,Athletics,Women's 5000m,,,,
Sylvia Jebiwott Kibet,Kenya,28,167,46,F,Athletics,Women's 5000m,,,,
Viola Jelagat Kibiwot,Kenya,28,165,48,F,Athletics,Women's 5000m,,,,
Sandra Lopez,Mexico,28,154,47,F,Athletics,Women's 5000m,,,,
Nadia Noujani,Morocco,30,164,46,F,Athletics,Women's 5000m,,,,
Karoline Bjerkeli Grovdal,Norway,22,,,F,Athletics,Women's 5000m,,,,
Roxana Elisabeta Birca,Romania,24,167,47,F,Athletics,Women's 5000m,,,,
Olga Golovkina,Russian Federation,25,170,50,F,Athletics,Women's 5000m,,,,
Yelena Nagovitsyna,Russian Federation,29,165,55,F,Athletics,Women's 5000m,,,,
Judith Pla,Spain,34,168,53,F,Athletics,Women's 5000m,,,,
Dudu Karakaya,Turkey,26,,,F,Athletics,Women's 5000m,,,,
Lyudmyla Kovalenko,Ukraine,23,167,53,F,Athletics,Women's 5000m,,,,
Zakia Mrisho,United Republic of Tanzania,28,160,50,F,Athletics,Women's 5000m,,,,
Julie Culley,United States of America,30,173,58,F,Athletics,Women's 5000m,,,,
Kim Conley,United States of America,26,160,49,F,Athletics,Women's 5000m,,,,
Molly Huddle,United States of America,27,165,49,F,Athletics,Women's 5000m,,,,
Eloise Wellings,Australia,29,172,52,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Shitaye Eshete,Bahrain,22,162,43,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Tirunesh Dibaba,Ethiopia,27,165,48,F,Athletics,"Women's 5000m, Women's 10,000m",YES,1,,
Joanne Pavey,Great Britain,38,162,49,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Julia Bleasdale,Great Britain,30,167,46,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Nadia Ejjafini,Italy,34,,,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Hitomi Niiya,Japan,24,165,44,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Kayoko Fukushi,Japan,30,160,45,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Mika Yoshikawa,Japan,27,155,39,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Sally Jepkosgei Kipyego,Kenya,26,,,F,Athletics,"Women's 5000m, Women's 10,000m",YES,,1,
Vivian Jepkemoi Cheruiyot,Kenya,28,160,39,F,Athletics,"Women's 5000m, Women's 10,000m",YES,,,1
Sara Moreira,Portugal,26,168,49,F,Athletics,"Women's 5000m, Women's 10,000m",,,,
Felismina Cavela,Angola,19,156,45,F,Athletics,Women's 800m,,,,
Maryna Arzamasava,Belarus,24,173,57,F,Athletics,Women's 800m,,,,
Francine Niyonsaba,Burundi,19,161,56,F,Athletics,Women's 800m,,,,
Jessica Smith,Canada,22,174,52,F,Athletics,Women's 800m,,,,
Melissa Bishop,Canada,23,173,59,F,Athletics,Women's 800m,,,,
Elisabeth Mandaba,Central African Republic,23,,,F,Athletics,Women's 800m,,,,
Rosibel Garcia,Colombia,31,167,52,F,Athletics,Women's 800m,,,,
Noura Elsayed,Egypt,25,175,65,F,Athletics,Women's 800m,,,,
Fantu Magiso,Ethiopia,20,178,60,F,Athletics,Women's 800m,,,,
Lynsey Sharp,Great Britain,22,175,60,F,Athletics,Women's 800m,,,,
Eleni Filandra,Greece,28,174,58,F,Athletics,Women's 800m,,,,
Neisha Bernard-Thomas,Grenada,31,165,57,F,Athletics,Women's 800m,,,,
Amy Atkinson,Guam,22,165,55,F,Athletics,Women's 800m,,,,
Tintu Luka,India,23,,,F,Athletics,Women's 800m,,,,
Kenia Sinclair,Jamaica,32,170,58,F,Athletics,Women's 800m,,,,
Margarita Matsko Mukasheva,Kazakhstan,26,166,50,F,Athletics,Women's 800m,,,,
Cherono Koech,Kenya,19,172,53,F,Athletics,Women's 800m,,,,
Janeth Jepkosgei Busienei,Kenya,28,158,48,F,Athletics,Women's 800m,,,,
Pamela Jelimo,Kenya,22,170,56,F,Athletics,Women's 800m,,,,
Haley Nemra,Marshall Islands,22,168,59,F,Athletics,Women's 800m,,,,
Aicha Fall,Mauritania,18,160,46,F,Athletics,Women's 800m,,,,
Annabelle Lascar,Mauritius,27,163,54,F,Athletics,Women's 800m,,,,
